asn,name,category
71,Hewlett Packard Enterprise,company
161,Texas Instruments Incorporated,company
297,National Aeronautics and Space Administration,company
929,KIRINO LLC,company
992,Modest Labs LLC,company
1011,Accutar Biotechnology (Canada) Inc.,company
1660,Verizon Business,company
1738,OP Osuuskunta,company
1780,Valmet Oyj,company
2562,Texas Instruments Incorporated,company
2639,ZOHO,company
2877,Latvian Shipping Company,company
3298,Societe Generale S.A.,company
3332,Swedbank Estonia,company
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),company
3379,"Kaiser Foundation Health Plan, Inc.",company
3743,Cleveland Cliffs Steel LLC,company
4622,Indonesia Network Information Center,company
4783,SYSTEX Corporation,company
5091,"Stripe, Inc.",company
5413,Wavenet Limited,company
5420,Kemira Oyj,company
5536,Xyberdata,company
6507,"Riot Games, Inc",company
6707,D-Market Elektronik Hizmetler Tic. A.S.,company
6833,Terranets bw GmbH,company
6852,UB Omaisuudenhoito Oy,company
7345,Nokia of America Corporation (fka. Alcatel-Lucent),company
7726,FedEx Internet Technologies Corporation,company
8218,Zayo Europe,company
8221,ISABEL N.V.,company
8240,Information System Authority Republic of Estonia,company
8303,Westdeutscher Rundfunk Köln,company
8315,WorldStream B.V.,company
8373,Deutsche Bank AG,company
8454,FMO Flughafen Muenster/Osnabrueck GmbH,company
8518,Radio Free Europe/Radio Liberty,company
8528,Renault SAS,company
8549,Kyndryl Deutschland Aviation Industry Services GmbH,company
8983,Nokia Solutions and Networks Oy,company
9091,Swedbank Latvia,company
9099,Finanz Informatik GmbH & Co. KG,company
9159,Credit Agricole SA,company
9221,HSBC HongKong,company
9293,NTT Com Asia Limited,company
9341,PT Indonesia Comnets Plus,company
9423,"ServerKing.io, LLC",company
9498,Bharti Airtel Ltd.,company
10248,"Blue Ridge Bankshares, Inc.",company
10273,Florida Power & Light Company,company
11106,"Wolfram Research, Inc.",company
11281,Roblox (Office),company
11323,"Getty Images (Seattle), Inc.",company
11652,"Kaiser Aluminum Fabricated Products, L.L.C.",company
11703,MaRS Discovery District,company
11740,Progressive Casualty Insurance Company,company
11820,"Wikimedia Foundation, Inc.",company
11913,Elevate Homescriptions,company
12291,Deutsche Post AG,company
12565,GROUPE LDLC SA,company
12613,Firebrick Limited,company
12663,Fastweb SpA,company
12678,Badoo Trading Limited,company
12696,AXA Technology Services France GIE,company
12729,HSBC BANK ANONIM SIRKETI,company
12748,IAV GmbH Ingenieurgesellschaft Auto und Verkehr,company
12811,Auchan Retail International SA,company
12965,SEB Latvia,company
12990,Ringier Axel Springer Polska Sp. z o.o.,company
13009,Redcentric Solutions Ltd,company
13013,Hewlett Packard France S.A.S.,company
13014,Hewlett Packard France S.A.S.,company
13138,Turk Ekonomi Bankasi Anonim Sirketi,company
13244,Rietumu Bank,company
13414,Twitter Inc.,company
