asn,name,category
81,MCNC,dsl
209,Lumen (ex. Qwest),dsl
577,Bell Canada,dsl
701,Verizon Business,dsl
719,Elisa Oyj,dsl
790,Elisa Oyj,dsl
803,Saskatchewan Telecommunications,dsl
812,Rogers Communications Canada Inc.,dsl
852,TELUS Communications Inc.,dsl
855,Bell Canada,dsl
1088,FastBridge Fiber,dsl
1136,KPN B.V.,dsl
1221,Telstra Limited,dsl
1241,Nova Telecommunications & Media Single Member S.A,dsl
1257,Tele2 Sverige AB,dsl
1267,WIND TRE S.P.A.,dsl
1403,EBOX,dsl
1547,Interdnestrcom SZAO,dsl
1680,Cellcom Fixed Line Communication L.P,dsl
1759,Telia Finland Oyj,dsl
1836,green.ch AG,dsl
1955,KIFU (Governmental Info Tech Development Agency),dsl
2110,Enet Communications LIMITED,dsl
2116,GLOBALCONNECT AS,dsl
2119,Telenor Norge AS,dsl
2497,Internet Initiative Japan Inc.,dsl
2510,FUJITSU LIMITED,dsl
2514,"NTT PC Communications, Inc.",dsl
2516,KDDI Corporation,dsl
2518,BIGLOBE Inc.,dsl
2519,ARTERIA Networks Corporation,dsl
2527,Sony Network Communications Inc.,dsl
2586,Elisa Eesti AS,dsl
2609,Tunisia BackBone AS,dsl
2728,"Gigsouth, LLC",dsl
2840,Stiftelsen Göteborgs Studentbostäder,dsl
2856,British Telecommunications,dsl
2860,"NOS COMUNICACOES, S.A.",dsl
3209,Vodafone GmbH,dsl
3212,Telemach Slovenija d.o.o.,dsl
3215,Orange S.A.,dsl
3216,Vimpelcom PJSC,dsl
3225,Bonline aka GULF communications,dsl
3226,OOO NI,dsl
3243,MEO,dsl
3249,Telia Eesti AS,dsl
3253,PJSC Vimpelcom,dsl
3255,Ukrainian Academic and Research Network,dsl
3265,KPN B.V.,dsl
3269,TIM S.p.A. (fka. Telecom Italia S.p.A.),dsl
3292,TDC Holding A/S,dsl
3301,Telia Company AB,dsl
3303,Swisscom (Schweiz) AG,dsl
3308,Kundeselskabet Norlys A/S,dsl
3320,Deutsche Telekom AG,dsl
3326,Datagroup PJSC,dsl
3329,Vodafone Greece,dsl
3352,TELEFONICA DE ESPANA S.A.U.,dsl
3399,Obenet AB,dsl
3462,HiNet (Chunghwa Telecom),dsl
3549,Lumen (fka. Global Crossing),dsl
