asn,name,category
8,Rice University,large
9,Carnegie Mellon University,large
12,New York University,large
16,Lawrence Berkeley National Laboratory,large
17,Purdue University,large
20,University of Rochester,large
26,Cornell University,large
32,Stanford University,large
34,University of Delaware,large
46,"Rutgers, The State University",large
59,University of Wisconsin Madison,large
62,CyrusOne LLC,large
73,University of Washington,large
82,Attachmate Corp.,large
87,Indiana University,large
88,Princeton University,large
102,U.S. National Science Foundation,large
103,Northwestern University,large
109,"CISCO SYSTEMS, INC.",large
111,Boston University,large
137,Consortium GARR,large
156,Northeastern University,large
161,Texas Instruments Incorporated,large
174,"Cogent Communications, LLC",large
194,University Corporation for Atmospheric Research,large
209,Lumen (ex. Qwest),large
210,Utah Education Network,large
217,University of Minnesota,large
224,Sikt (Uninett),large
225,University of Virginia,large
278,Universidad Nacional Autonoma de Mexico,large
376,Reseau dInformations Scientifiques du Quebec (RISQ Inc.),large
513,CERN,large
553,BelWü,large
559,SWITCH,large
577,Bell Canada,large
680,Deutsches Forschungsnetz (DFN),large
701,Verizon Business,large
702,Verizon Business - EMEA,large
714,Apple Inc.,large
715,"WoodyNet, Inc.",large
760,Vienna University Computer Center,large
766,Entidad Publica Empresarial Red.es,large
786,Jisc Services Limited,large
789,Renater,large
797,"AT&T Services, Inc.",large
802,York University,large
823,University of Western Ontario,large
852,TELUS Communications Inc.,large
979,NetLab Global,large
1103,SURF B.V.,large
1128,Technische Universiteit Delft,large
1133,University of Twente,large
1161,Technische Universiteit Eindhoven,large
1219,Oracle Corporation,large
1221,Telstra Limited,large
1241,Nova Telecommunications & Media Single Member S.A,large
1249,University of Massachusetts - AMHERST,large
1257,Tele2 Sverige AB,large
1299,Arelion (fka. Telia Carrier),large
1312,Virginia Polytechnic Institute and State Univ.,large
1351,University of Vermont,large
1653,Vetenskapsrådet / SUNET,large
1741,CSC - Tieteen tietotekniikan keskus Oy,large
1742,Harvard University,large
1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University...,large
1820,WNET TELECOM USA Corp.,large
1835,Forskningsnettet - Danish NREN,large
1853,ACONET,large
1888,Stichting Centrum voor Wiskunde en Informatica,large
1897,"NOS COMUNICACOES, S.A.",large
1916,RNP - Rede Nacional de Ensino e Pesquisa,large
1930,"Fundacao para a Ciencia e a Tecnologia, I.P.",large
2047,Hoffmann - La Roche Ltd.,large
2055,Louisiana State University,large
2108,Croatian Academic and Research Network,large
2165,HP Inc.,large
2200,Renater,large
2496,University of Kansas,large
2497,Internet Initiative Japan Inc.,large
2516,KDDI Corporation,large
2527,Sony Network Communications Inc.,large
2553,Florida State University,large
2571,DHL Information Services (Europe) s.r.o,large
2576,U. S. Department of Transportation,large
2611,BELNET,large
2635,"Automattic, Inc",large
2639,ZOHO,large
2647,ORANGE BUSINESS COMMUNICATIONS TECHNOLOGY LIMITED,large
2665,Shared Services Canada,large
2715,Fundação Carlos Chagas Filho de Amparo a Pesquisa,large
2818,BBC,large
2834,Uppsala University,large
2843,Linköpings universitet,large
2846,Lund University,large
2852,CESNET z.s.p.o.,large
2856,British Telecommunications,large
2914,"NTT America, Inc.",large
3136,State of WI Dept. of Administration,large
3147,U.S. BANCORP,large
3209,Vodafone GmbH,large
3215,Orange S.A.,large
3236,SERVER.UA LLC,large
3243,MEO,large
3258,xTom Japan,large
