asn,category
81,dsl
209,dsl
577,dsl
701,dsl
719,dsl
790,dsl
803,dsl
812,dsl
852,dsl
855,dsl
1088,dsl
1136,dsl
1221,dsl
1241,dsl
1257,dsl
1267,dsl
1403,dsl
1547,dsl
1680,dsl
1759,dsl
1836,dsl
1955,dsl
2110,dsl
2116,dsl
2119,dsl
2497,dsl
2510,dsl
2514,dsl
2516,dsl
2518,dsl
2519,dsl
2527,dsl
2586,dsl
2609,dsl
2728,dsl
2840,dsl
2856,dsl
2860,dsl
3209,dsl
3212,dsl
3215,dsl
3216,dsl
3225,dsl
3226,dsl
3243,dsl
3249,dsl
3253,dsl
3255,dsl
3265,dsl
3269,dsl
3292,dsl
3301,dsl
3303,dsl
3308,dsl
3320,dsl
3326,dsl
3329,dsl
3352,dsl
3399,dsl
3462,dsl
3549,dsl
3695,dsl
3737,dsl
3741,dsl
3786,dsl
3816,dsl
3855,dsl
4007,dsl
4134,dsl
4181,dsl
4230,dsl
4474,dsl
4540,dsl
4609,dsl
4662,dsl
4685,dsl
4704,dsl
4713,dsl
4721,dsl
4725,dsl
4739,dsl
4755,dsl
4760,dsl
4761,dsl
4764,dsl
4766,dsl
4773,dsl
4775,dsl
4780,dsl
4787,dsl
4788,dsl
4802,dsl
4804,dsl
4808,dsl
4809,dsl
4812,dsl
4818,dsl
4837,dsl
4847,dsl
4922,dsl
5089,dsl
5378,dsl
5384,dsl
5385,dsl
5390,dsl
5391,dsl
5410,dsl
5413,dsl
5416,dsl
5432,dsl
5438,dsl
5466,dsl
5483,dsl
5563,dsl
5578,dsl
5588,dsl
5603,dsl
5607,dsl
5610,dsl
5617,dsl
5639,dsl
5645,dsl
5650,dsl
5690,dsl
5713,dsl
5742,dsl
5769,dsl
6057,dsl
6079,dsl
6128,dsl
6147,dsl
6181,dsl
6306,dsl
6327,dsl
6389,dsl
6400,dsl
6407,dsl
6471,dsl
6503,dsl
6535,dsl
6539,dsl
6568,dsl
6614,dsl
6661,dsl
6677,dsl
6697,dsl
6700,dsl
6702,dsl
6703,dsl
6712,dsl
6713,dsl
6730,dsl
6739,dsl
6752,dsl
6758,dsl
6789,dsl
6799,dsl
6805,dsl
6810,dsl
6821,dsl
6830,dsl
6848,dsl
6849,dsl
6855,dsl
6856,dsl
6866,dsl
6871,dsl
6876,dsl
6910,dsl
7015,dsl
7016,dsl
7018,dsl
7029,dsl
7057,dsl
7063,dsl
7065,dsl
7106,dsl
7122,dsl
7155,dsl
7303,dsl
7418,dsl
7420,dsl
7438,dsl
7459,dsl
7470,dsl
7482,dsl
7522,dsl
7524,dsl
7532,dsl
7545,dsl
7552,dsl
7565,dsl
7600,dsl
7642,dsl
7679,dsl
7713,dsl
7725,dsl
7727,dsl
7738,dsl
7782,dsl
7794,dsl
7843,dsl
7922,dsl
7992,dsl
8014,dsl
8048,dsl
8092,dsl
8151,dsl
8163,dsl
8167,dsl
8193,dsl
8228,dsl
8251,dsl
8273,dsl
8301,dsl
8331,dsl
8334,dsl
8339,dsl
8346,dsl
8359,dsl
8369,dsl
8371,dsl
8374,dsl
8376,dsl
8386,dsl
8400,dsl
8402,dsl
8412,dsl
8416,dsl
8422,dsl
8427,dsl
8437,dsl
8439,dsl
8445,dsl
8447,dsl
8448,dsl
8452,dsl
8462,dsl
8468,dsl
8473,dsl
8477,dsl
8492,dsl
8551,dsl
8580,dsl
8585,dsl
8591,dsl
8595,dsl
8612,dsl
8615,dsl
8632,dsl
8636,dsl
8672,dsl
8680,dsl
8681,dsl
8697,dsl
8708,dsl
8717,dsl
8728,dsl
8732,dsl
8737,dsl
8749,dsl
8752,dsl
8758,dsl
8764,dsl
8767,dsl
8779,dsl
8781,dsl
8801,dsl
8818,dsl
8821,dsl
8829,dsl
8866,dsl
8881,dsl
8897,dsl
8905,dsl
8920,dsl
8926,dsl
8932,dsl
8948,dsl
8953,dsl
8990,dsl
9031,dsl
9038,dsl
9050,dsl
9051,dsl
9063,dsl
9070,dsl
9105,dsl
9116,dsl
9119,dsl
9121,dsl
9125,dsl
9136,dsl
9141,dsl
9145,dsl
9146,dsl
9155,dsl
9158,dsl
9198,dsl
9205,dsl
9228,dsl
9230,dsl
9231,dsl
9249,dsl
9260,dsl
9269,dsl
9299,dsl
9304,dsl
9318,dsl
9326,dsl
9329,dsl
9341,dsl
9351,dsl
9354,dsl
9365,dsl
9381,dsl
9394,dsl
9416,dsl
9443,dsl
9471,dsl
9498,dsl
9500,dsl
9506,dsl
9534,dsl
9541,dsl
9583,dsl
9595,dsl
9605,dsl
9617,dsl
9644,dsl
9648,dsl
9657,dsl
9676,dsl
9689,dsl
9694,dsl
9756,dsl
9762,dsl
9790,dsl
9808,dsl
9824,dsl
9829,dsl
9845,dsl
9873,dsl
9902,dsl
9905,dsl
9908,dsl
9919,dsl
9922,dsl
9924,dsl
9930,dsl
9937,dsl
9971,dsl
9976,dsl
9981,dsl
9988,dsl
10010,dsl
10013,dsl
10030,dsl
10085,dsl
10091,dsl
10094,dsl
10099,dsl
10118,dsl
10139,dsl
10143,dsl
10164,dsl
10214,dsl
10219,dsl
10242,dsl
10318,dsl
10396,dsl
10423,dsl
10429,dsl
10474,dsl
10481,dsl
10507,dsl
10620,dsl
10750,dsl
10796,dsl
11071,dsl
11081,dsl
11114,dsl
11139,dsl
11142,dsl
11232,dsl
11233,dsl
11260,dsl
11290,dsl
11338,dsl
11351,dsl
11404,dsl
11426,dsl
11427,dsl
11492,dsl
11525,dsl
11556,dsl
11562,dsl
11664,dsl
11666,dsl
11706,dsl
11708,dsl
11776,dsl
11814,dsl
11816,dsl
11830,dsl
11844,dsl
11845,dsl
11888,dsl
11976,dsl
11990,dsl
11992,dsl
11994,dsl
12083,dsl
12252,dsl
12271,dsl
12297,dsl
12301,dsl
12302,dsl
12322,dsl
12334,dsl
12338,dsl
12353,dsl
12355,dsl
12357,dsl
12360,dsl
12361,dsl
12389,dsl
12390,dsl
12392,dsl
12400,dsl
12414,dsl
12418,dsl
12430,dsl
12436,dsl
12455,dsl
12479,dsl
12494,dsl
12496,dsl
12552,dsl
12570,dsl
12576,dsl
12578,dsl
12605,dsl
12611,dsl
12644,dsl
12668,dsl
12708,dsl
12709,dsl
12714,dsl
12716,dsl
12735,dsl
12737,dsl
12741,dsl
12764,dsl
12768,dsl
12778,dsl
12810,dsl
12829,dsl
12843,dsl
12849,dsl
12850,dsl
12871,dsl
12874,dsl
12883,dsl
12887,dsl
12897,dsl
12912,dsl
12941,dsl
12946,dsl
12958,dsl
12963,dsl
12969,dsl
12975,dsl
12978,dsl
12989,dsl
12997,dsl
13000,dsl
13030,dsl
13036,dsl
13037,dsl
13045,dsl
13046,dsl
13055,dsl
13091,dsl
13101,dsl
13110,dsl
13122,dsl
13124,dsl
13127,dsl
13156,dsl
13170,dsl
13182,dsl
13188,dsl
13189,dsl
13194,dsl
13272,dsl
13280,dsl
13285,dsl
13306,dsl
13347,dsl
13367,dsl
13370,dsl
13377,dsl
13427,dsl
13451,dsl
13489,dsl
13781,dsl
13807,dsl
13977,dsl
13999,dsl
14051,dsl
14080,dsl
14117,dsl
14259,dsl
14333,dsl
14371,dsl
14522,dsl
14615,dsl
14638,dsl
14695,dsl
14709,dsl
14749,dsl
14754,dsl
14813,dsl
14868,dsl
14979,dsl
14988,dsl
15081,dsl
15108,dsl
15146,dsl
15344,dsl
15366,dsl
15377,dsl
15378,dsl
15399,dsl
15435,dsl
15457,dsl
15474,dsl
15493,dsl
15502,dsl
15525,dsl
15542,dsl
15547,dsl
15557,dsl
15582,dsl
15600,dsl
15605,dsl
15617,dsl
15640,dsl
15659,dsl
15673,dsl
15704,dsl
15706,dsl
15723,dsl
15735,dsl
15774,dsl
15796,dsl
15802,dsl
15805,dsl
15879,dsl
15895,dsl
15897,dsl
15899,dsl
15924,dsl
15925,dsl
15943,dsl
15958,dsl
15962,dsl
15964,dsl
15975,dsl
15994,dsl
16010,dsl
16019,dsl
16058,dsl
16086,dsl
16116,dsl
16135,dsl
16160,dsl
16202,dsl
16223,dsl
16246,dsl
16301,dsl
16302,dsl
16316,dsl
16333,dsl
16342,dsl
16345,dsl
16591,dsl
16637,dsl
16717,dsl
16735,dsl
16814,dsl
16904,dsl
16906,dsl
16960,dsl
17072,dsl
17079,dsl
17222,dsl
17306,dsl
17421,dsl
17429,dsl
17451,dsl
17465,dsl
17483,dsl
17488,dsl
17501,dsl
17506,dsl
17511,dsl
17534,dsl
17551,dsl
17552,dsl
17557,dsl
17621,dsl
17622,dsl
17623,dsl
17638,dsl
17639,dsl
17665,dsl
17670,dsl
17676,dsl
17698,dsl
17747,dsl
17754,dsl
17806,dsl
17809,dsl
17813,dsl
17816,dsl
17839,dsl
17849,dsl
17853,dsl
17854,dsl
17858,dsl
17864,dsl
17882,dsl
17884,dsl
17917,dsl
17924,dsl
17957,dsl
17962,dsl
17974,dsl
17976,dsl
18001,dsl
18049,dsl
18081,dsl
18103,dsl
18106,dsl
18116,dsl
18126,dsl
18144,dsl
18182,dsl
18207,dsl
18209,dsl
18734,dsl
18747,dsl
18809,dsl
18822,dsl
18881,dsl
18914,dsl
18988,dsl
19108,dsl
19115,dsl
19165,dsl
19182,dsl
19331,dsl
19381,dsl
19397,dsl
19429,dsl
19504,dsl
19863,dsl
19890,dsl
20001,dsl
20015,dsl
20055,dsl
20057,dsl
20115,dsl
20207,dsl
20214,dsl
20294,dsl
20318,dsl
20365,dsl
